brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
30212.0,for_sale,325000.0,3.0,2.0,0.54,485148.0,Granby,Massachusetts,1033.0,1336.0,2019-08-02,5,2
37427.0,for_sale,399999.0,2.0,1.0,0.5,1806956.0,Northampton,Massachusetts,1062.0,1072.0,1999-09-09,15,2
22700.0,for_sale,547500.0,4.0,4.0,0.91,1670017.0,South Hadley,Massachusetts,1075.0,2420.0,2012-10-09,10,2
30212.0,for_sale,299900.0,3.0,2.0,0.53,821238.0,Granby,Massachusetts,1033.0,880.0,2018-03-19,5,2
40300.0,for_sale,319000.0,2.0,1.0,0.48,1757415.0,Southampton,Massachusetts,1073.0,1115.0,2000-09-29,18,2
65075.0,for_sale,349990.0,3.0,2.0,0.26,1213378.0,Orange,Massachusetts,1364.0,1300.0,2005-04-15,12,2
22637.0,for_sale,299900.0,3.0,2.0,0.2,848516.0,Chicopee,Massachusetts,1020.0,1584.0,2020-09-18,8,2
53310.0,for_sale,219900.0,3.0,2.0,0.05,732995.0,Orange,Massachusetts,1364.0,1092.0,2005-05-04,12,2
22188.0,for_sale,156750.0,3.0,1.0,0.47,1434443.0,Athol,Massachusetts,1331.0,1268.0,2004-12-21,26,2
20052.0,for_sale,365000.0,6.0,3.0,0.31,1593680.0,Holyoke,Massachusetts,1040.0,2408.0,2007-12-14,13,2
8147.0,for_sale,219000.0,3.0,1.0,0.15,1192711.0,Chicopee,Massachusetts,1020.0,1170.0,2008-01-03,8,2
56729.0,for_sale,259900.0,3.0,2.0,0.27,173926.0,Chicopee,Massachusetts,1013.0,1265.0,2000-10-18,8,2
41995.0,for_sale,299987.0,4.0,2.0,0.17,482192.0,Holyoke,Massachusetts,1040.0,2094.0,2003-08-13,13,2
77109.0,for_sale,377000.0,7.0,4.0,0.33,84334.0,Orange,Massachusetts,1364.0,2538.0,1987-12-07,12,2
80325.0,for_sale,350000.0,3.0,1.0,0.34,115762.0,Easthampton,Massachusetts,1027.0,1248.0,2012-01-06,14,2
37775.0,for_sale,375000.0,4.0,2.0,0.16,793456.0,Chicopee,Massachusetts,1020.0,1280.0,2020-09-11,8,2
27510.0,for_sale,266000.0,3.0,2.0,0.33,1628470.0,Montague,Massachusetts,1351.0,1770.0,2009-06-25,25,2
27510.0,for_sale,240000.0,3.0,1.0,0.41,1568181.0,Montague,Massachusetts,1351.0,960.0,2002-10-17,25,2
36448.0,for_sale,149900.0,2.0,2.0,0.57,955217.0,Orange,Massachusetts,1364.0,924.0,2008-09-23,12,2
56419.0,for_sale,249900.0,4.0,3.0,0.18,473063.0,Holyoke,Massachusetts,1040.0,4704.0,1989-04-26,13,2
34091.0,for_sale,235000.0,3.0,1.0,0.15,15428.0,Greenfield,Massachusetts,1301.0,1416.0,1998-12-15,19,2
30212.0,for_sale,1500000.0,6.0,7.0,4.52,939489.0,South Hadley,Massachusetts,1075.0,6250.0,2005-11-02,10,2
36448.0,for_sale,275000.0,5.0,2.0,2.11,314141.0,Athol,Massachusetts,1331.0,3024.0,1984-04-27,26,2
35025.0,for_sale,265000.0,3.0,1.0,0.4,198555.0,Williamsburg,Massachusetts,1096.0,1529.0,2015-04-30,23,2
58796.0,for_sale,229000.0,4.0,2.0,0.13,589007.0,Holyoke,Massachusetts,1040.0,1529.0,2021-03-22,13,2
67832.0,for_sale,299000.0,3.0,1.0,0.65,90307.0,West Springfield,Massachusetts,1089.0,1424.0,2004-06-28,21,2
61569.0,for_sale,309000.0,3.0,1.0,0.8,994760.0,Easthampton,Massachusetts,1027.0,1040.0,2006-07-21,14,2
97152.0,for_sale,279900.0,4.0,1.0,1.06,917531.0,Holyoke,Massachusetts,1040.0,1243.0,1988-08-30,13,2
30212.0,for_sale,294900.0,6.0,2.0,0.13,1138886.0,Chicopee,Massachusetts,1020.0,2288.0,2019-06-03,8,2
53016.0,for_sale,399900.0,4.0,3.0,1.6,919166.0,Blandford,Massachusetts,1008.0,1960.0,2015-05-01,27,2
8147.0,for_sale,675000.0,4.0,3.0,0.69,523681.0,Blandford,Massachusetts,1008.0,3476.0,2007-07-02,27,2
16714.0,for_sale,1237542.0,4.0,3.0,100.5,894128.0,Blandford,Massachusetts,1008.0,3063.0,2007-08-29,27,2
41767.0,for_sale,579900.0,4.0,3.0,2.34,985290.0,Coventry,Connecticut,6238.0,3320.0,2021-06-01,28,3
91020.0,for_sale,215000.0,2.0,1.0,0.91,1062364.0,East Windsor,Connecticut,6016.0,960.0,2012-06-06,29,3
10585.0,for_sale,144900.0,2.0,1.0,0.36,765673.0,Vernon,Connecticut,6066.0,860.0,2016-09-02,30,3
101640.0,for_sale,289900.0,4.0,2.0,0.38,1758218.0,East Windsor,Connecticut,6016.0,1617.0,1999-09-30,29,3
39879.0,for_sale,239900.0,3.0,2.0,0.4,1127243.0,Ware,Massachusetts,1082.0,1911.0,1998-07-27,31,2
107951.0,for_sale,349900.0,3.0,3.0,0.92,1531043.0,Ellington,Connecticut,6029.0,1960.0,2010-06-28,32,3
22611.0,for_sale,239900.0,3.0,1.0,1.43,1244868.0,East Windsor,Connecticut,6016.0,1351.0,2009-06-05,29,3
107951.0,for_sale,299900.0,3.0,2.0,0.87,1336295.0,Vernon,Connecticut,6066.0,1850.0,2015-11-09,30,3
38461.0,for_sale,329000.0,4.0,1.0,0.64,1443474.0,Longmeadow,Massachusetts,1028.0,1296.0,2017-06-23,33,2
33505.0,for_sale,369900.0,12.0,3.0,0.15,785577.0,Springfield,Massachusetts,1105.0,3902.0,2014-12-24,24,2
19427.0,for_sale,399900.0,4.0,3.0,1.64,8134.0,Stafford,Connecticut,6076.0,2056.0,2006-07-11,34,3
33507.0,for_sale,299900.0,3.0,2.0,0.15,1596986.0,Springfield,Massachusetts,1118.0,1613.0,2014-01-30,24,2
